Pore diameter(um)	Cumulative distribution
16.13591098	0.958350414
16.16439455	0.958432401
16.17859877	0.958555382
16.1927781	0.958719357
16.20693263	0.958760351
16.22106248	0.958883332
16.23516776	0.958965319
16.24924857	0.959047307
16.26330502	0.959129294
16.27733722	0.959211281
16.29134526	0.959293269
16.30532926	0.959375256
16.3192893	0.959539231
16.33322551	0.959580225
16.34713797	0.95986718
16.3610268	0.959949168
16.37489208	0.960031155
16.40255243	0.960113143
16.41634768	0.960154136
16.43011979	0.960277117
16.44386885	0.960400098
16.47129821	0.960482086
16.4849787	0.960605067
16.49863651	0.960728048
16.51227176	0.960851029
16.52588452	0.961015004
16.53947489	0.961055997
16.55304296	0.961096991
16.56658883	0.961178978
16.58011258	0.961219972
16.59361431	0.961260966
16.62055204	0.961342953
16.63398823	0.961465934
16.64740274	0.961588915
16.66079567	0.961711896
16.6741671	0.961834877
16.68751712	0.961875871
16.71415326	0.961998852
16.72743956	0.962121833
16.74070478	0.962203821
16.75394902	0.962326802
16.76717234	0.962367795
16.78037485	0.962408789
16.78037485	0.962449783
16.81985823	0.962490776
16.83297825	0.96253177
16.84607785	0.962572764
16.85915711	0.962613757
16.8722161	0.962654751
16.88525491	0.962695745
16.89827362	0.962777732
16.9112723	0.962900713
16.92425102	0.963105682
16.93720987	0.963187669
16.97596792	0.963474625
17.00170863	0.963597606
17.0145498	0.9636386
17.02737162	0.963802574
17.04017416	0.963925555
17.05295749	0.963966549
17.06572169	0.964007543
17.07846682	0.964048537
17.09119295	0.964171518
17.10390016	0.964212511
17.11658852	0.964294499
17.1292581	0.96441748
17.15454117	0.964458473
17.19232663	0.964499467
17.20488494	0.964581454
17.21742495	0.964622448
17.22994672	0.964663442
17.24245031	0.964786423
17.2549358	0.964827417
17.2549358	0.96486841
17.26740324	0.964909404
17.26740324	0.964950398
17.27985271	0.964991391
17.29228426	0.965032385
17.30469796	0.96519636
17.31709388	0.965237353
17.32947208	0.965278347
17.34183262	0.965319341
17.35417557	0.965401328
17.36650098	0.965524309
17.37880892	0.965565303
17.40337264	0.965729278
17.41562854	0.965770271
17.42786722	0.965811265
17.44008873	0.965852259
17.45229313	0.965893252
17.47665087	0.966016234
17.48880431	0.966057227
17.50094089	0.966139215
17.53725	0.966180208
17.54931969	0.966221202
17.5613728	0.966303189
17.57340938	0.966344183
17.5854295	0.96642617
17.59743321	0.966508158
17.60942057	0.966590145
17.62139163	0.966672132
17.63334644	0.966713126
17.64528507	0.96675412
17.65720756	0.966795114
17.66911398	0.966877101
17.68100437	0.966918095
17.69287878	0.967000082
17.70473729	0.967041076
17.71657992	0.967164057
17.72840675	0.967246044
17.74021782	0.967287038
17.75201318	0.967328031
17.76379288	0.967369025
17.77555699	0.967451013
17.78730554	0.967573994
17.7990386	0.967614987
17.8107562	0.967696975
17.83414527	0.967819956
17.84581684	0.967860949
17.85747315	0.967901943
17.88074025	0.967942937
17.88074025	0.96798393
17.89235112	0.968106912
17.91552777	0.968229893
17.92709364	0.968270886
17.9386446	0.96831188
17.95018071	0.968352874
17.98470038	0.968393867
17.99617753	0.968475855
18.00764007	0.968516848
18.01908803	0.968598836
18.03052147	0.968680823
18.05334494	0.968721817
18.06473506	0.968803804
18.07611084	0.968844798
18.11015256	0.968967779
18.12147141	0.969008773
18.14406678	0.96909076
18.1553434	0.969254735
18.16660602	0.969295728
18.18908947	0.969336722
18.20031038	0.969377716
18.21151747	0.969459703
18.24505625	0.969541691
18.25620849	0.969582684
